generic;translations
"appname","Item Maker 1.0 Angular"
"leftpanelmenumanageitems","Zarządzanie produktami"
"leftpanelmenumanageUsers", "Zarządzanie użytkownikami"
"searchwidgettext","Szukaj"
"true","tak"
"false","nie"

dahsboard;translations
"dashboardcontent","Panel"


"logintitle","Strona logowania"
"loginpleasesignin","Prosimy o zalogowanie"
"loginusernamelabel","Nazwa użytkownika"
"loginpasslabel","Hasło"
"loginbuttonlogin","Zaloguj"
"loginerrormessage","Niepoprawna nazwa lub hasło użytkownika"
"navbarmenuactionlogout","Wyloguj"


itemslist;translations
"itemslisttitle","Produkty"
"itemslistheading","Zarządzaj produktami"
"itemslistheadingbuttonadditem","Dodaj produkt"
"itemslistitemstableheading","Lista produktów"
"itemslistitemstableheadingid","Kod"
"itemslistitemstableheadingname","Nazwa"
"itemslistitemstableheadingiscomposed","Złożony"
"itemslistitemstableheadingactions",""
"itemslistitemstableeditbutton","Edytuj"
"itemslistitemstabledeletebutton","Usuń"
edit form;sss
"edititemheadingadditem","Dodawanie produktu"
"edititemheadingedititem","Edycja produktu"
"edititemlabelitemname","Nazwa"
"edititembuttonsave","Zapisz"
"edititembuttoncancel","Anuluj"
"editcomponentsbuttonadd","Dodaj komponent"


component,editform
"componenteditformbuttoncancel","Cancel"

users; userlist
"userslisttitle","Użytkownicy"
"userslistheading","Wszyscy użytkownicy"
"userslistuserstablebuttondelete","Usuń"
"userslistuserstablebuttonedit","Edytuj"
"userslistheadingbuttonuseradd","Dodaj użytkownika"
"userslistuserstableheadingid","Id"
"userslistuserstableheadingname","Login (email)"
"userslistuserstableheadingenabled","Aktywny"
"userslistuserstableheadingactions",""

users; useredit
"edituserheadingadditem","Dodawanie użytkownika"
"edituserheadingedituser","Edycja użytkownika"
"edituserlabelname","Email"
"edituserhelpname","Użytkownik jest identyfikowany przez adres email. Proszę wprowadzić poprawny email."
"edituserlabelpassword","Hasło"
"edituserhelppassword","Hasło musi mieć co najmniej 6 znaków. Pozostaw puste jeśli nie chcesz zmieniać."
"edituserlabelenabled","Aktywny"
"edituserhelpenabled","Aktywny oznacza że użytkownik może się logować"
"edituserlabelroles","Przypisane role"
"edituserbuttonsave","Zapisz użytkownika"
"edituserbuttoncancel","Powrót do listy"
